               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 131,            0.025838,            0.037577,           0.0079769,             0.79411,             0.79132,             0.82653,             0.63986,            0.023251,            0.021575,            0.011676,            0.009025,            0.009025,            0.009025
                 132,            0.025968,            0.035025,           0.0075949,             0.82573,             0.79869,             0.83827,             0.64196,            0.022901,            0.021385,            0.011184,           0.0090175,           0.0090175,           0.0090175
                 133,            0.025861,            0.035203,           0.0080312,             0.83001,             0.77717,             0.82768,             0.65896,            0.021685,            0.021201,            0.011417,             0.00901,             0.00901,             0.00901
                 134,            0.026027,            0.034812,            0.008117,             0.83984,             0.79795,              0.8394,             0.63644,            0.022941,            0.020793,             0.01092,           0.0090025,           0.0090025,           0.0090025
                 135,            0.024993,            0.036621,            0.007696,              0.8344,             0.75512,             0.81912,              0.6392,            0.022637,            0.021858,            0.013031,            0.008995,            0.008995,            0.008995
                 136,            0.025289,            0.036051,           0.0078385,             0.82597,             0.76129,             0.80297,             0.61737,            0.022948,            0.021709,            0.013046,           0.0089875,           0.0089875,           0.0089875
                 137,            0.026603,            0.037153,           0.0077485,             0.83923,             0.77622,              0.8287,             0.64214,             0.02255,            0.020763,            0.012124,             0.00898,             0.00898,             0.00898
                 138,            0.025378,            0.035997,           0.0077717,             0.89089,             0.77282,             0.82517,             0.64499,            0.023372,            0.021193,            0.010389,           0.0089725,           0.0089725,           0.0089725
                 139,            0.025669,            0.036324,           0.0077423,             0.77125,             0.79167,             0.84261,             0.65554,            0.022662,             0.02055,           0.0099418,            0.008965,            0.008965,            0.008965
                 140,             0.02544,            0.036645,           0.0080736,             0.80813,             0.78968,             0.82511,             0.64933,            0.023287,            0.021354,            0.011519,           0.0089575,           0.0089575,           0.0089575
                 141,            0.026151,            0.037399,           0.0078219,             0.82285,             0.78235,              0.8328,             0.66284,            0.022798,            0.021836,            0.011118,             0.00895,             0.00895,             0.00895
                 142,            0.026395,            0.038331,           0.0072719,             0.81798,             0.78118,             0.82256,             0.64822,            0.023349,            0.021083,            0.011078,           0.0089425,           0.0089425,           0.0089425
                 143,            0.025874,            0.036582,           0.0076402,             0.88981,             0.78827,             0.84764,             0.67313,             0.02394,            0.020798,            0.010738,            0.008935,            0.008935,            0.008935
                 144,            0.026785,            0.037057,           0.0075428,             0.85915,             0.78599,             0.84542,             0.64275,            0.023702,            0.021486,            0.011159,           0.0089275,           0.0089275,           0.0089275
                 145,            0.025535,            0.033856,           0.0082526,             0.82841,             0.80602,             0.85121,             0.67525,            0.022254,             0.02069,            0.010211,             0.00892,             0.00892,             0.00892
                 146,            0.026193,            0.038688,           0.0070307,             0.83974,             0.77624,             0.83907,             0.66287,            0.022345,            0.021146,            0.010107,           0.0089125,           0.0089125,           0.0089125
                 147,            0.025298,            0.037463,           0.0070943,              0.8392,             0.80255,             0.84372,             0.64764,            0.023281,            0.021455,           0.0098291,            0.008905,            0.008905,            0.008905
                 148,            0.025765,            0.035488,           0.0075718,             0.80791,             0.79024,             0.83296,             0.66291,             0.02267,            0.020989,            0.010439,           0.0088975,           0.0088975,           0.0088975
                 149,            0.026866,            0.037217,           0.0070642,             0.79486,              0.7809,             0.82995,             0.64731,            0.022193,            0.020777,             0.01106,             0.00889,             0.00889,             0.00889
                 150,            0.024622,            0.035418,           0.0075602,             0.84545,              0.7327,             0.83041,             0.66307,            0.022077,            0.020813,            0.011297,           0.0088825,           0.0088825,           0.0088825
                 151,            0.024762,            0.036842,           0.0072169,             0.79792,             0.80241,             0.84301,             0.66752,            0.022434,            0.021153,            0.010574,            0.008875,            0.008875,            0.008875
                 152,            0.024954,            0.036574,           0.0076815,             0.82472,             0.81673,             0.85188,             0.66517,            0.022653,            0.021073,            0.010112,           0.0088675,           0.0088675,           0.0088675
